asset_key,project,component,documented_event_date,date_precision,event_type,nominal_voltage_kv,voltage_evidence,cutoff_status,selected_frozen_model_inclusion,source_ids,scope_note
SPC_WPN2,SMART_PATH_CONNECT,Willis-Patnode2,2025-11-14,day,owner_notice_reports_energization,,not_verified_by_this_audit,energized_before_cutoff,no_component_specific_overlay,SPC_WPN2,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_LINE13,SMART_PATH_CONNECT,Adirondack-Austin Road Line13,2025-11-17,day,owner_notice_reports_energization,345,same_owner_notice,energized_before_cutoff,no_component_specific_overlay,SPC_LINE13,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_HA1,SMART_PATH_CONNECT,Haverstock-Adirondack1,2026-03-27,day,owner_notice_reports_energization,345,NYISO_2025_GOLD_BOOK_planning_identity,energized_after_cutoff,no_component_specific_overlay,SPC_HA1;NYISO_2025_GOLD_BOOK,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_LINE12,SMART_PATH_CONNECT,Adirondack-Marcy Line12,2026-03-28,day,owner_notice_reports_energization,345,same_owner_notice,energized_after_cutoff,no_component_specific_overlay,SPC_LINE12,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_MH1,SMART_PATH_CONNECT,Moses-Haverstock1,2026-04-13,day,owner_notice_reports_energization,230,NYISO_2025_GOLD_BOOK_planning_identity,energized_after_cutoff,no_component_specific_overlay,SPC_MH1;NYISO_2025_GOLD_BOOK,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_HW1,SMART_PATH_CONNECT,Haverstock-Willis1,2026-04-28,day,owner_notice_reports_energization,345,NYISO_2025_GOLD_BOOK_planning_identity,energized_after_cutoff,no_component_specific_overlay,SPC_HW1;NYISO_2025_GOLD_BOOK,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_W2,SMART_PATH_CONNECT,Willis2,2026-05-14,day,owner_notice_reports_energization,,not_verified_by_this_audit,energized_after_cutoff,no_component_specific_overlay,SPC_W2,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_WRY2,SMART_PATH_CONNECT,Willis-Ryan2,2026-05-21,day,owner_notice_reports_energization,,not_verified_by_this_audit,energized_after_cutoff,no_component_specific_overlay,SPC_WRY2,Energization milestone does not establish continuous availability or a one-to-one historical PERFORM branch correspondence.
SPC_XFMR_2025,SMART_PATH_CONNECT,Haverstock AT2/AT3 and WillisAnnex TR2,2025-10,month,operator_incremental_in_service_report,345/230,same_operator_report,in_service_before_cutoff,omitted_from_selected_frozen_overlay,NYISO_OCT_OPERATIONS,Exact commissioning days and parameters not established. Operator October summary groups WRY1 despite owner September23 energization; milestone definitions may differ.
RCC_QUEENS,RCC,Rainey-Corona Queens feeder,2023-05-03,day,owner_completed_project_announcement,,not_specified_in_reviewed_completion_release,completed_before_cutoff,assumed138kV_cable_equivalent_included,RCC_QUEENS_COMPLETION,Six-mile300MW project benefit is not a verified300MVA branch rating; nominal138kV not reaudited from this completion release.
RCC_BROOKLYN,RCC,Gowanus-Greenwood feeder,2025-08-07,completion_documentation_by_date,owner_reports_construction_completed,138,owner_May_project_description,construction_completed_before_cutoff_energization_day_unresolved,included_by_default_with_exclusion_sensitivity,RCC_Q2_COMPLETION;RCC_MAY_ANNOUNCEMENT;RCC_BROOKLYN_COMPLETION,May16 said energization expected that month; Aug7 confirms construction completion. Exact service day and tap settings are not proved.
RCC_STATEN,RCC,Goethals-Fox Hills feeder,2025-08-07,completion_documentation_by_date,owner_reports_construction_completed,138,owner_May_project_description,construction_completed_before_cutoff_energization_day_unresolved,included_by_default_with_exclusion_sensitivity,RCC_Q2_COMPLETION;RCC_MAY_ANNOUNCEMENT,May16 said energization expected that month; Aug7 confirms construction completion. Exact service day and tap settings are not proved.
CHPE,CHPE,Quebec-Astoria HVDC,2026-06,month,owner_commercial_operation_confirmed,,not_reaudited,commercial_operation_after_cutoff,excluded,CHPE_COMMERCIAL,June16 announcement and June1 supply-contract commencement are distinct dates; neither supports2025 operation.
RCC_LIC,RCC_LIC,Vernon-Newtown200MW project,2026,year,owner_planned_completion,,not_reaudited,planned_after_cutoff_no2025_completion_evidence,excluded,RCC_LIC_PLAN,Separate project from completed2023 Rainey-Corona; plan is not proof of eventual2026 completion.
PROPEL,PROPEL_NY,Propel NY Energy,2030,year,owner_planned_in_service,,not_reaudited,planned_after_cutoff,excluded,PROPEL_PLAN,Construction schedule remains subject to approvals; no claim commissioned.
